feeder,tag,start,end,event,event_id,time_diff_pre,JID,year,visit_duration,perch,site,position,day,time,hour,rings,sex,partnerID,box,motherID,fatherID,age,position_year,pre_JID,pre_start,pre_end,this_start,this_end,pre_event_id,next_JID,next_start,next_end,time_diff_next,next_event_id,self_follow,parent,age_24,JID_position,JID_position_year,dual_juv,dual_juv_parent,visit_no,day_ringed,motherID_position_year,fatherID_position_year,mother_position_first,father_position_first,mother_days_before,father_days_before,motherID_year,mother_visit_no_total,fatherID_year,father_visit_no_total,mother_feeder_use,father_feeder_use,parent_feeder_use,pre_age24,pre_age,pre_JID_position_year,pre_first_day,pre_days_before,juv_juv,pre_dual_event_key,day_ringed_z
Y1.1,01148B2CE2,26/06/2023 19:08,26/06/2023 19:10,38583,Y1.1 2023-06-26 19:08:39.434 J5091,53.46799994,J5091,2023,80.7870001792908s (~1.35 minutes),primary,Y,Y1,177,08:39.4,19,RRBZM,NA,NA,Y23,J505,J1480,1,Y1_2023,J4645,26/06/2023 19:07,26/06/2023 19:07,26/06/2023 19:08,26/06/2023 19:10,Y1.1 2023-06-26 19:07:13.156 J4645,J2540,26/06/2023 19:11,26/06/2023 19:12,85.20099998,Y1.1 2023-06-26 19:11:25.424 J2540,not self,0,2,J5091_Y1,J5091_Y1_2023,0,0,1,144,J505_Y1_2023,J1480_Y1_2023,78,77,99,100,J505_2023,NA,J1480_2023,NA,2,2,4,5,4,J4645_Y1_2023,77,100,no_juv_juv,solo_event,-2.462358231
Y1.1,01148AF82D,23/06/2023 07:54,23/06/2023 07:54,34187,Y1.1 2023-06-23 07:54:24.713 J5095,5.127000093,J5095,2023,8.44599986076355s,primary,Y,Y1,174,54:24.7,7,GRBZM,NA,J5121,Y23,J505,J1480,1,Y1_2023,J1480,23/06/2023 07:53,23/06/2023 07:54,23/06/2023 07:54,23/06/2023 07:54,Y1.1 2023-06-23 07:53:13.493 J1480,J972,23/06/2023 07:54,23/06/2023 07:55,7.032999992,Y1.1 2023-06-23 07:54:40.191 J972,not self,1,2,J5095_Y1,J5095_Y1_2023,1,2,22,144,J505_Y1_2023,J1480_Y1_2023,78,77,96,97,J505_2023,NA,J1480_2023,NA,2,2,4,12,11,J1480_Y1_2023,77,97,no_juv_juv,solo_event,-2.462358231
Z3.1,01148B3A50,29/07/2023 07:19,29/07/2023 07:19,8904,Z3.1 2023-07-29 07:19:52.130 J5097,420.2920001,J5097,2023,6.39699983596802s,primary,Z,Z3,210,19:52.1,7,GZRBZM,NA,NA,Z39,J56,J1345,1,Z3_2023,J5604,29/07/2023 07:11,29/07/2023 07:12,29/07/2023 07:19,29/07/2023 07:19,Z3.1 2023-07-29 07:11:33.144 J5604,J5604,29/07/2023 07:37,29/07/2023 07:38,1044.306,Z3.1 2023-07-29 07:37:22.832 J5604,not self,0,2,J5097_Z3,J5097_Z3_2023,0,0,1,146,J56_Z3_2023,J1345_Z3_2023,NA,168,NA,42,J56_2023,NA,J1345_2023,NA,0,2,2,2,1,J5604_Z3_2023,203,7,juv_juv,solo_event,-1.889507534
Z2.1,01148B14EA,12/07/2023 09:10,12/07/2023 09:10,23780,Z2.1 2023-07-12 09:10:36.105 J5098,61.54699993,J5098,2023,0s,primary,Z,Z2,193,10:36.1,9,BRBZM,NA,NA,Z41,J2969,J2331,1,Z2_2023,J2969,12/07/2023 09:09,12/07/2023 09:09,12/07/2023 09:10,12/07/2023 09:10,Z2.1 2023-07-12 09:09:32.506 J2969,J5098,12/07/2023 09:11,12/07/2023 09:11,34.81500006,Z2.1 2023-07-12 09:11:10.920 J5098,not self,1,2,J5098_Z2,J5098_Z2_2023,1,2,14,146,J2969_Z2_2023,J2331_Z2_2023,139,139,54,54,J2969_2023,NA,J2331_2023,NA,2,2,4,7,6,J2969_Z2_2023,139,54,no_juv_juv,solo_event,-1.889507534
Z3.1,01148B14EA,01/07/2023 07:44,01/07/2023 07:44,7153,Z3.1 2023-07-01 07:44:05.394 J5098,55.21899986,J5098,2023,30.5659999847412s,primary,Z,Z3,182,44:05.4,7,BRBZM,NA,NA,Z41,J2969,J2331,1,Z3_2023,J2331,01/07/2023 07:42,01/07/2023 07:43,01/07/2023 07:44,01/07/2023 07:44,Z3.1 2023-07-01 07:42:42.309 J2331,J5519,01/07/2023 07:44,01/07/2023 07:45,0,Z3.1 2023-07-01 07:44:35.960 J5519,not self,1,2,J5098_Z3,J5098_Z3_2023,1,2,1,146,J2969_Z3_2023,J2331_Z3_2023,NA,182,NA,0,J2969_2023,NA,J2331_2023,NA,0,2,2,8,7,J2331_Z3_2023,182,0,no_juv_juv,solo_event,-1.889507534
Z5.1,01148B14EA,27/06/2023 10:21,27/06/2023 10:22,57141,Z5.1 2023-06-27 10:21:39.360 J5098,59.22900009,J5098,2023,39.0679998397827s,primary,Z,Z5,178,21:39.4,10,BRBZM,NA,NA,Z41,J2969,J2331,1,Z5_2023,J1973,27/06/2023 10:20,27/06/2023 10:20,27/06/2023 10:21,27/06/2023 10:22,Z5.1 2023-06-27 10:20:40.131 J1973,J1154,27/06/2023 10:23,27/06/2023 10:23,45.13199997,Z5.1 2023-06-27 10:23:03.559 J1154,not self,0,2,J5098_Z5,J5098_Z5_2023,1,1,2,146,J2969_Z5_2023,J2331_Z5_2023,164,164,14,14,J2969_2023,NA,J2331_2023,NA,2,2,4,9,8,J1973_Z5_2023,144,34,no_juv_juv,solo_event,-1.889507534
Y1.1,01148A4EE0,22/06/2023 05:54,22/06/2023 05:55,31571,Y1.1 2023-06-22 05:54:42.835 J5101,60.54799986,J5101,2023,31.8050000667572s,primary,Y,Y1,173,54:42.8,5,OZRBZM,NA,NA,Y35,J5089,J2126,1,Y1_2023,J2126,22/06/2023 05:53,22/06/2023 05:53,22/06/2023 05:54,22/06/2023 05:55,Y1.1 2023-06-22 05:53:31.789 J2126,J5101,22/06/2023 05:55,22/06/2023 05:55,14.49199986,Y1.1 2023-06-22 05:55:29.132 J5101,not self,1,2,J5101_Y1,J5101_Y1_2023,1,2,12,147,J5089_Y1_2023,J2126_Y1_2023,100,78,73,95,J5089_2023,NA,J2126_2023,NA,2,2,4,8,7,J2126_Y1_2023,78,95,no_juv_juv,solo_event,-1.603082186
Y4.1,01148A4EE0,29/06/2023 07:15,29/06/2023 07:15,72969,Y4.1 2023-06-29 07:15:05.618 J5101,0,J5101,2023,37.9050002098083s,primary,Y,Y4,180,15:05.6,7,OZRBZM,NA,NA,Y35,J5089,J2126,1,Y4_2023,J2126,29/06/2023 07:14,29/06/2023 07:15,29/06/2023 07:15,29/06/2023 07:15,Y4.1 2023-06-29 07:14:44.375 J2126,J5530,29/06/2023 07:16,29/06/2023 07:16,34.18499994,Y4.1 2023-06-29 07:16:17.710 J5530,not self,1,2,J5101_Y4,J5101_Y4_2023,1,2,39,147,J5089_Y4_2023,J2126_Y4_2023,132,160,48,20,J5089_2023,NA,J2126_2023,NA,2,2,4,8,7,J2126_Y4_2023,160,20,no_juv_juv,solo_event,-1.603082186
Z2.1,01148B4C50,06/07/2023 05:50,06/07/2023 05:50,14474,Z2.1 2023-07-06 05:50:53.937 J5103,0,J5103,2023,2.05099987983704s,primary,Z,Z2,187,50:53.9,5,YWRZM,NA,NA,Z45,J3508,J2783,1,Z2_2023,J2783,06/07/2023 05:50,06/07/2023 05:50,06/07/2023 05:50,06/07/2023 05:50,Z2.1 2023-07-06 05:50:49.565 J2783,J2783,06/07/2023 05:50,06/07/2023 05:50,1.760000229,Z2.1 2023-07-06 05:50:57.748 J2783,not self,1,2,J5103_Z2,J5103_Z2_2023,1,2,207,155,J3508_Z2_2023,J2783_Z2_2023,139,138,48,49,J3508_2023,NA,J2783_2023,NA,2,2,4,7,6,J2783_Z2_2023,138,49,no_juv_juv,solo_event,0.688320602
Y1.1,01148A5531,24/06/2023 14:01,24/06/2023 14:01,36058,Y1.1 2023-06-24 14:01:31.650 J5118,4.71600008,J5118,2023,1.61100006103516s,primary,Y,Y1,175,01:31.7,14,YRBZM,NA,NA,Y23,J505,J1480,1,Y1_2023,J4521,24/06/2023 14:01,24/06/2023 14:01,24/06/2023 14:01,24/06/2023 14:01,Y1.1 2023-06-24 14:01:26.934 J4521,J1480,24/06/2023 14:01,24/06/2023 14:02,0.000999928,Y1.1 2023-06-24 14:01:33.262 J1480,not self,0,2,J5118_Y1,J5118_Y1_2023,0,0,164,144,J505_Y1_2023,J1480_Y1_2023,78,77,97,98,J505_2023,NA,J1480_2023,NA,2,2,4,6,5,J4521_Y1_2023,143,32,no_juv_juv,solo_event,-2.462358231
